id,c1,c2,c3,c4,c5,c6
1,4,7,10,7,0.673253571,69
2,10,4,9,3,0.47489591,91
3,7,0,3,2,0.517520499,84
4,10,3,0,8,0.310112736,86
5,2,5,0,10,0.658986006,1
6,3,2,9,8,0.838175663,34
7,0,0,7,9,0.967570112,75
8,3,0,8,2,0.42418211,36
9,7,5,4,9,0.776324361,13
10,0,8,10,0,0.782640523,7
11,8,0,2,0,0.533141273,43
12,7,4,2,2,0.666875065,29
13,6,0,10,2,0.631218082,71
14,5,4,10,10,0.570212343,74
15,7,3,0,1,0.739314782,27
16,3,10,3,8,0.226841091,46
17,8,8,5,8,0.232492442,58
18,2,4,0,1,0.132381035,3
19,6,7,8,8,0.981875633,42
20,5,2,8,1,0.54568249,17
21,7,8,6,5,0.951389047,21
22,1,4,0,6,0.62284535,30
23,5,5,3,10,0.157399566,80
24,5,1,5,5,0.656251082,2
25,3,10,8,8,0.125922378,79
26,6,5,5,8,0.660172108,77
27,8,7,4,0,0.058796471,61
28,1,3,8,3,0.047680942,14
29,8,5,7,10,0.710134312,31
30,5,8,3,1,0.44509229,66
31,9,7,0,6,0.715787526,55
32,6,2,2,1,0.653743933,51
33,7,3,1,9,0.293443891,18
34,3,6,2,8,0.631396074,75
35,8,10,0,10,0.079553851,63
36,3,5,5,4,0.686909963,64
37,8,2,8,4,0.524935775,27
38,7,4,3,3,0.722370022,29
39,0,5,2,5,0.966557535,94
40,1,6,10,8,0.410367445,13
41,5,0,10,6,0.812097289,58
42,8,10,7,2,0.965045498,52
43,6,5,0,4,0.078270226,62
44,7,3,8,6,0.605256194,17
45,7,5,4,8,0.523928397,98
46,5,6,0,3,0.06470599,85
47,5,8,1,1,0.507112738,31
48,1,3,9,4,0.300285336,13
49,6,1,8,0,0.830265312,98
50,1,8,9,10,0.974790198,24
51,2,8,4,5,0.619160844,83
52,6,9,7,9,0.699684236,36
53,7,1,2,3,0.373276663,96
54,6,9,9,10,0.623233571,21
55,4,6,1,9,0.945923079,35
56,1,10,0,7,0.556570736,71
57,10,0,10,7,0.516371354,38
58,5,4,1,4,0.589302315,8
59,0,4,1,1,0.581765134,49
60,4,6,10,8,0.64831581,23
61,9,3,9,0,0.028617873,23
62,1,7,6,3,0.213166477,28
63,8,9,0,4,0.883493566,19
64,5,2,0,4,0.114758276,92
65,0,7,4,10,0.561840364,4
66,3,5,3,1,0.729471042,88
67,4,8,7,7,0.142918377,22
68,1,2,4,1,0.792411824,96
69,3,10,8,8,0.254790519,55
70,2,6,3,2,0.848573677,11
71,7,10,8,6,0.396516532,91
72,5,8,7,1,0.694276494,30
73,0,2,0,4,0.184663816,25
74,7,9,4,6,0.28830663,25
75,4,2,3,8,0.691309842,50
76,9,9,5,8,0.098226291,10
77,8,0,2,9,0.376565679,47
78,7,4,9,4,0.179542722,63
79,10,5,0,5,0.297147267,20
80,3,4,8,2,0.051576474,35
81,2,6,0,10,0.60754105,59
82,5,7,4,5,0.359811637,19
83,3,7,10,0,0.159128279,60
84,3,5,10,3,0.331885602,13
85,1,8,3,2,0.917900211,93
86,0,4,5,0,0.334855484,85
87,10,1,2,10,0.34267519,46
88,9,6,4,0,0.526201152,86
89,7,3,8,8,0.272786824,46
90,9,5,3,1,0.113703419,100
91,3,3,6,7,0.335217057,18
92,1,0,5,6,0.106517047,85
93,6,3,7,4,0.483894912,73
94,0,9,0,3,0.622573914,99
95,0,6,10,0,0.711527832,9
96,9,1,3,8,0.359713576,39
97,7,5,6,3,0.093853705,84
98,7,10,2,9,0.054169991,90
99,0,2,0,5,0.879430006,17
100,9,5,8,8,0.790138811,98
