group/student,student 1,student 2,student 3,student 4
group 1,64,58,25,21
group 2,36,93,17,2
group 3,5,6,71,46
group 4,96,82,31,85
group 5,76,57,89,16
group 6,56,41,15,4
group 7,30,37,40,99
group 8,60,70,97,87
group 9,35,7,42,38
group 10,55,90,100,84
group 11,78,67,77,68
group 12,44,66,11,50
group 13,65,72,88,23
group 14,79,20,10,92
group 15,8,12,45,47
group 16,24,39,75,32
group 17,61,28,81,98
group 18,53,1,18,19
group 19,74,14,59,69
group 20,9,62,3,94
group 21,83,49,63,91
group 22,43,34,95,33
group 23,22,48,27,86
group 24,80,29,54,26
group 25,13,52,73,51
