group/student,student 1,student 2,student 3,student 4
group 1,5,32,67,79
group 2,99,58,52,100
group 3,18,91,43,55
group 4,7,34,6,68
group 5,39,47,31,69
group 6,57,38,16,88
group 7,54,12,66,11
group 8,50,51,70,92
group 9,87,44,21,13
group 10,65,75,23,73
group 11,63,45,8,40
group 12,76,82,81,53
group 13,95,22,80,64
group 14,49,89,84,2
group 15,42,78,59,48
group 16,4,36,9,41
group 17,90,30,96,77
group 18,85,93,20,3
group 19,10,72,33,56
group 20,35,1,19,15
group 21,28,62,97,27
group 22,94,74,14,71
group 23,25,17,29,86
group 24,61,26,60,83
group 25,98,37,24,46
