group/student,student 1,student 2,student 3,student 4
group 1,7,88,37,21
group 2,61,46,58,19
group 3,35,71,44,29
group 4,42,15,30,52
group 5,85,100,75,81
group 6,63,83,26,6
group 7,5,68,22,80
group 8,10,73,78,96
group 9,65,11,72,84
group 10,98,77,82,43
group 11,90,92,93,20
group 12,87,53,36,23
group 13,50,48,89,97
group 14,25,55,12,67
group 15,18,3,32,66
group 16,57,41,34,14
group 17,99,27,62,70
group 18,49,79,38,60
group 19,39,56,47,31
group 20,76,86,17,8
group 21,4,64,45,33
group 22,94,69,51,59
group 23,95,40,1,24
group 24,28,2,91,16
group 25,54,13,74,9
