group/student,student 1,student 2,student 3,student 4
group 1,160,44,61,22
group 2,19,16,63,122
group 3,175,12,168,187
group 4,70,69,102,29
group 5,28,106,185,145
group 6,56,66,84,121
group 7,59,88,67,38
group 8,158,31,53,92
group 9,47,183,143,2
group 10,95,195,40,105
group 11,155,164,15,154
group 12,114,189,159,107
group 13,148,125,161,42
group 14,142,62,101,170
group 15,116,126,50,30
group 16,115,119,80,104
group 17,72,73,144,36
group 18,39,3,111,23
group 19,58,109,194,163
group 20,152,54,13,93
group 21,24,14,151,149
group 22,89,48,79,169
group 23,137,100,78,131
group 24,18,129,124,117
group 25,76,103,41,97
group 26,196,60,6,96
group 27,172,123,127,82
group 28,8,138,173,181
group 29,55,20,75,162
group 30,193,57,188,35
group 31,32,180,99,156
group 32,74,1,130,182
group 33,83,197,94,135
group 34,167,34,45,134
group 35,110,192,146,85
group 36,112,157,166,71
group 37,90,21,51,200
group 38,87,98,91,128
group 39,199,52,198,108
group 40,37,68,132,11
group 41,178,133,46,171
group 42,86,49,174,77
group 43,147,186,81,177
group 44,9,141,184,43
group 45,7,136,10,17
group 46,64,120,33,190
group 47,4,191,176,139
group 48,179,118,65,26
group 49,153,25,113,27
group 50,5,140,165,150
