group/student,student 1,student 2,student 3,student 4
group 1,141,79,119,47
group 2,145,168,143,84
group 3,142,78,80,130
group 4,30,89,17,198
group 5,162,25,176,197
group 6,97,67,188,64
group 7,93,29,19,105
group 8,88,98,123,148
group 9,68,187,107,18
group 10,108,101,31,14
group 11,2,44,158,76
group 12,77,72,5,49
group 13,90,192,124,8
group 14,100,184,57,82
group 15,174,75,140,137
group 16,118,173,37,48
group 17,133,159,135,155
group 18,112,62,183,27
group 19,56,70,189,95
group 20,61,46,21,129
group 21,106,92,33,53
group 22,113,26,87,149
group 23,170,83,153,161
group 24,128,41,96,146
group 25,138,11,12,60
group 26,3,122,190,59
group 27,175,127,103,15
group 28,165,178,51,40
group 29,63,164,199,1
group 30,191,144,121,35
group 31,38,194,134,114
group 32,94,69,172,132
group 33,200,193,115,7
group 34,22,28,136,6
group 35,163,58,10,157
group 36,154,23,24,52
group 37,16,65,166,50
group 38,4,151,91,81
group 39,177,120,180,195
group 40,111,152,147,110
group 41,131,20,150,160
group 42,43,32,171,169
group 43,179,73,13,186
group 44,86,182,9,181
group 45,156,117,125,196
group 46,99,126,104,185
group 47,36,74,42,55
group 48,109,34,167,54
group 49,102,85,39,45
group 50,71,139,66,116
