group/student,student 1,student 2,student 3,student 4
group 1,127,6,138,115
group 2,20,14,99,172
group 3,46,116,43,119
group 4,75,8,61,12
group 5,58,155,4,24
group 6,184,110,63,17
group 7,26,15,170,199
group 8,182,161,77,153
group 9,70,105,109,150
group 10,159,137,2,5
group 11,41,59,118,57
group 12,28,60,38,104
group 13,44,18,191,143
group 14,117,149,156,80
group 15,144,130,131,33
group 16,194,84,30,135
group 17,151,48,133,42
group 18,178,129,88,21
group 19,11,7,163,158
group 20,78,114,128,10
group 21,23,195,165,134
group 22,25,95,177,31
group 23,89,132,145,188
group 24,193,196,97,96
group 25,32,81,174,37
group 26,62,55,22,19
group 27,139,64,154,66
group 28,83,52,86,140
group 29,168,40,102,123
group 30,152,35,108,147
group 31,192,157,106,166
group 32,101,160,68,190
group 33,69,186,100,51
group 34,72,49,3,39
group 35,187,1,111,9
group 36,65,169,142,13
group 37,92,198,141,183
group 38,98,148,90,107
group 39,173,50,175,136
group 40,34,47,16,167
group 41,126,197,112,91
group 42,122,82,162,87
group 43,74,181,93,176
group 44,120,54,36,125
group 45,85,185,71,180
group 46,164,27,56,171
group 47,29,45,200,121
group 48,79,53,113,189
group 49,67,146,94,124
group 50,73,76,179,103
