group/student,student 1,student 2,student 3,student 4
group 1,13,194,200,180
group 2,80,54,299,156
group 3,168,18,227,92
group 4,258,147,252,48
group 5,121,225,239,32
group 6,175,166,170,219
group 7,56,126,185,94
group 8,81,159,26,242
group 9,167,148,72,260
group 10,71,201,17,38
group 11,265,273,28,75
group 12,142,25,66,249
group 13,236,218,47,89
group 14,46,280,267,146
group 15,207,68,104,197
group 16,269,9,250,205
group 17,231,128,158,82
group 18,184,291,210,127
group 19,179,100,257,39
group 20,215,232,245,95
group 21,174,77,52,214
group 22,41,263,84,243
group 23,8,192,216,98
group 24,161,279,134,62
group 25,240,31,228,112
group 26,209,139,1,136
group 27,165,187,268,73
group 28,140,5,173,295
group 29,172,37,282,137
group 30,221,21,186,135
group 31,33,116,30,300
group 32,275,119,217,118
group 33,244,144,132,102
group 34,272,162,103,223
group 35,91,12,287,248
group 36,188,99,59,67
group 37,233,164,76,264
group 38,87,20,88,290
group 39,283,196,16,51
group 40,286,58,254,297
group 41,281,284,237,208
group 42,42,115,36,49
group 43,125,114,169,150
group 44,19,97,23,22
group 45,181,274,90,131
group 46,101,293,105,235
group 47,7,230,251,93
group 48,143,241,108,296
group 49,276,107,278,189
group 50,246,152,138,149
group 51,4,160,199,220
group 52,255,63,153,238
group 53,10,109,45,44
group 54,190,29,64,130
group 55,110,79,203,271
group 56,176,155,195,262
group 57,157,74,212,11
group 58,85,96,43,229
group 59,270,122,222,178
group 60,69,83,202,193
group 61,285,24,277,113
group 62,154,106,177,226
group 63,61,86,204,34
group 64,50,247,78,256
group 65,182,292,259,65
group 66,27,213,289,298
group 67,70,261,145,60
group 68,53,234,123,294
group 69,211,57,117,171
group 70,133,124,40,183
group 71,129,288,35,253
group 72,206,55,120,141
group 73,224,191,2,163
group 74,14,111,6,198
group 75,151,266,3,15
