group/student,student 1,student 2,student 3,student 4
group 1,81,189,124,159
group 2,290,130,7,252
group 3,91,166,255,267
group 4,58,176,33,266
group 5,298,131,136,197
group 6,202,109,78,284
group 7,39,148,297,105
group 8,169,53,6,232
group 9,88,139,11,254
group 10,247,199,141,178
group 11,275,223,162,271
group 12,278,70,100,150
group 13,208,167,196,52
group 14,76,147,205,5
group 15,242,240,160,133
group 16,181,203,289,182
group 17,277,57,112,138
group 18,9,238,56,35
group 19,107,110,117,74
group 20,1,171,248,154
group 21,280,140,93,102
group 22,66,272,180,288
group 23,292,216,28,20
group 24,114,23,241,217
group 25,14,204,24,222
group 26,72,73,47,257
group 27,251,229,285,92
group 28,191,296,153,62
group 29,83,260,17,15
group 30,115,200,300,98
group 31,120,282,126,43
group 32,163,175,4,185
group 33,21,40,61,134
group 34,256,60,268,157
group 35,230,26,233,113
group 36,295,234,218,170
group 37,198,190,158,12
group 38,48,19,207,77
group 39,50,152,299,250
group 40,90,135,80,65
group 41,101,283,179,27
group 42,269,87,156,219
group 43,38,86,258,206
group 44,95,231,55,262
group 45,82,122,49,274
group 46,155,84,192,108
group 47,265,2,188,221
group 48,13,44,54,128
group 49,183,286,270,45
group 50,116,187,213,165
group 51,106,37,195,30
group 52,215,201,145,132
group 53,214,125,244,174
group 54,279,121,99,253
group 55,71,75,97,281
group 56,151,18,184,96
group 57,41,142,89,249
group 58,46,94,228,67
group 59,149,31,287,22
group 60,119,63,239,51
group 61,225,144,146,164
group 62,293,263,143,79
group 63,34,103,246,194
group 64,16,227,210,10
group 65,186,8,236,29
group 66,245,273,111,161
group 67,127,291,261,212
group 68,59,36,32,123
group 69,173,42,209,243
group 70,118,25,264,294
group 71,224,64,211,177
group 72,85,193,137,237
group 73,220,235,129,276
group 74,226,3,69,168
group 75,172,259,68,104
