id,c1,c2,c3,c4,c5,c6
1,2,2,3,3,0.610399364,38
2,9,9,9,0,0.930261728,2
3,4,4,4,1,0.467186905,24
4,10,2,2,4,0.895893668,93
5,2,6,8,1,0.239725749,81
6,6,2,7,8,0.431995717,21
7,5,2,8,8,0.413147644,90
8,5,2,9,5,0.480441951,79
9,5,8,3,10,0.240989426,46
10,8,5,9,1,0.450375029,15
11,4,5,7,5,0.067587576,24
12,7,4,6,1,0.091688814,4
13,1,5,5,2,0.37431688,59
14,10,5,6,1,0.996758241,31
15,3,8,8,10,0.672605932,30
16,2,3,1,1,0.069145845,59
17,4,4,6,0,0.263510139,74
18,1,3,7,4,0.285179941,29
19,10,4,3,10,0.12041563,20
20,6,7,10,3,0.806400062,30
21,3,2,0,6,0.657704295,98
22,9,2,9,5,0.195143003,44
23,6,3,4,8,0.479047032,85
24,0,1,7,7,0.408506695,7
25,3,5,4,3,0.329057616,39
26,10,0,1,8,0.645343575,85
27,2,0,8,8,0.956178877,14
28,10,4,1,3,0.089769225,68
29,5,10,9,10,0.694860709,80
30,0,5,3,5,0.816242044,38
31,8,9,0,9,0.510530531,40
32,3,1,0,1,0.452543707,43
33,7,9,9,1,0.823967564,33
34,5,10,7,3,0.819193834,69
35,0,5,1,9,0.965477379,70
36,0,7,6,3,0.352910782,40
37,9,3,8,3,0.13287982,69
38,1,0,3,6,0.078474349,92
39,5,10,7,0,0.823908525,73
40,6,1,4,10,0.238342156,99
41,2,2,10,4,0.901450912,56
42,4,3,3,3,0.952743451,41
43,6,5,1,1,0.174363218,15
44,5,7,1,8,0.066829339,81
45,4,8,4,1,0.512245039,14
46,6,10,1,3,0.73197666,80
47,3,0,2,9,0.069160874,26
48,6,9,1,0,0.774631279,19
49,5,10,6,0,0.528789464,94
50,10,8,1,0,0.005526123,60
51,0,2,3,1,0.328690989,68
52,10,5,5,0,0.674936264,19
53,4,8,3,10,0.504094733,92
54,5,1,9,3,0.96090866,31
55,0,10,5,6,0.133704285,90
56,3,9,4,6,0.665150134,14
57,9,5,3,2,0.87863299,32
58,7,7,5,4,0.771840655,62
59,0,2,0,3,0.84175202,45
60,1,5,5,10,0.658073513,14
61,0,3,1,8,0.87633965,35
62,9,5,9,10,0.128342597,39
63,4,2,2,5,0.632160265,7
64,0,10,0,0,0.114985727,4
65,10,10,4,3,0.015095799,97
66,1,10,4,3,0.19236729,16
67,2,1,6,10,0.89554079,38
68,3,3,4,10,0.84843895,20
69,9,3,3,6,0.404121726,83
70,3,5,1,4,0.22741711,65
71,8,9,10,2,0.46850335,26
72,1,2,6,0,0.046639782,42
73,9,8,1,5,0.998060796,26
74,1,5,6,7,0.109373913,11
75,5,0,8,4,0.715178084,67
76,10,0,3,3,0.197403043,4
77,8,4,6,5,0.688281283,56
78,8,10,0,5,0.319413079,18
79,3,4,6,2,0.134733304,54
80,0,8,2,4,0.087414054,38
81,1,3,2,7,0.33818957,47
82,3,3,2,9,0.69700858,14
83,2,2,8,4,0.980115829,41
84,10,5,6,10,0.631999339,51
85,3,7,0,2,0.457741106,16
86,4,3,9,1,0.936586226,85
87,1,4,3,3,0.60514416,39
88,0,0,9,9,0.144529055,0
89,8,3,7,6,0.197635686,66
90,9,3,6,5,0.384471423,38
91,4,0,7,4,0.881570836,99
92,5,9,10,9,0.103416842,8
93,6,0,2,6,0.416457929,20
94,9,7,1,3,0.310419766,91
95,2,3,1,5,0.624569842,12
96,3,1,1,4,0.504069782,36
97,6,3,0,8,0.108430947,8
98,4,3,1,2,0.24767885,4
99,7,8,6,7,0.602848535,0
100,1,7,7,2,0.086701102,58
101,3,8,6,10,0.824630457,12
102,1,7,9,0,0.124820545,100
103,10,8,7,10,0.945998608,22
104,8,10,8,0,0.017098885,12
105,6,3,10,0,0.217697971,99
106,1,1,6,0,0.210390398,90
107,0,8,8,3,0.9673204,81
108,0,5,5,3,0.053600134,24
109,7,1,7,2,0.507499352,13
110,1,2,9,5,0.795259308,7
111,5,10,4,2,0.486719903,34
112,9,5,1,6,0.005689234,78
113,3,9,3,8,0.445600326,21
114,1,7,10,3,0.085686679,99
115,0,4,10,9,0.667773217,13
116,6,4,10,10,0.957239318,64
117,3,2,0,3,0.2557611,26
118,4,8,3,6,0.511817686,49
119,5,1,4,9,0.564281764,72
120,1,3,8,4,0.373284556,84
121,5,2,8,0,0.734631556,51
122,1,2,3,1,0.880863367,64
123,10,9,3,3,0.299499771,65
124,10,6,6,1,0.202916628,15
125,9,4,5,8,0.338253309,98
126,8,8,7,8,0.37178227,100
127,7,9,6,5,0.246330287,47
128,9,10,1,9,0.096499627,25
129,4,8,9,2,0.969830403,49
130,0,4,6,6,0.114107907,66
131,1,5,5,7,0.644635541,6
132,4,1,4,3,0.448948156,89
133,4,6,1,0,0.399234037,87
134,4,10,5,1,0.998813738,58
135,3,6,1,4,0.889515287,22
136,0,0,7,9,0.241027816,43
137,6,1,10,8,0.440346615,25
138,9,6,7,6,0.11356653,99
139,7,1,8,6,0.040427426,97
140,6,2,5,3,0.891232435,44
141,4,5,7,1,0.572231105,29
142,8,3,3,0,0.304138025,99
143,0,3,0,7,0.610369446,66
144,9,9,9,4,0.942488081,26
145,3,0,7,7,0.10997644,49
146,2,10,9,4,0.509093753,85
147,10,10,2,7,0.726402603,18
148,0,10,2,0,0.425733057,59
149,3,6,5,6,0.890079437,0
150,3,9,0,7,0.967336764,29
151,3,6,0,0,0.747468879,43
152,3,2,1,9,0.537988368,0
153,4,5,3,2,0.796928369,78
154,3,2,8,3,0.2106585,50
155,10,6,10,1,0.957672958,67
156,8,7,0,10,0.270861343,19
157,2,7,7,9,0.046139244,15
158,7,3,9,4,0.813268971,0
159,7,7,6,4,0.529233323,2
160,0,0,8,6,0.514348999,48
161,3,3,2,4,0.31911981,70
162,3,2,3,0,0.934319947,35
163,10,5,5,7,0.336834347,33
164,10,2,2,9,0.579358287,99
165,0,7,6,7,0.388542118,15
166,0,7,8,1,0.902174741,1
167,2,7,10,2,0.819901487,72
168,6,6,1,6,0.669418856,59
169,1,2,4,6,0.799219842,26
170,5,6,2,6,0.035418966,59
171,6,8,4,0,0.284387383,3
172,7,4,3,4,0.744477646,73
173,1,0,5,2,0.411214884,58
174,10,4,7,1,0.639768981,47
175,5,0,10,5,0.23904019,51
176,6,10,2,2,0.967323539,60
177,5,3,7,4,0.520180356,77
178,8,7,10,5,0.509122176,80
179,6,3,6,0,0.956786738,66
180,4,6,3,2,0.096701263,67
181,2,7,1,6,0.102173773,14
182,8,9,10,7,0.886375304,36
183,3,9,8,8,0.502442384,11
184,8,0,2,5,0.160442191,89
185,5,9,9,2,0.934498216,66
186,0,0,7,5,0.596050017,5
187,9,7,0,0,0.255920166,22
188,1,9,9,4,0.564592313,97
189,2,1,5,7,0.126590588,30
190,6,6,3,4,0.209754111,67
191,9,4,1,4,0.438411188,7
192,3,6,6,6,0.390971349,89
193,2,4,6,9,0.300344611,26
194,4,7,10,3,0.08948149,35
195,9,3,1,4,0.276638954,42
196,6,5,1,3,0.94074671,46
197,10,8,0,10,0.712146112,26
198,10,0,10,7,0.487937672,25
199,9,2,10,9,0.0365723,42
200,10,7,2,9,0.959706151,36
201,6,5,5,6,0.84912648,96
202,2,10,7,0,0.847554943,36
203,8,10,10,2,0.139416247,86
204,2,0,2,0,0.158834678,76
205,9,9,10,6,0.336260423,23
206,7,1,1,9,0.194111238,96
207,2,2,8,0,0.906635459,67
208,2,5,5,8,0.843695802,47
209,1,10,8,6,0.453230484,5
210,5,3,4,6,0.879396791,76
211,4,2,6,2,0.960748416,91
212,8,9,5,2,0.99945685,66
213,6,9,3,10,0.047885581,78
214,9,5,7,7,0.063481594,30
215,9,0,0,7,0.489141937,11
216,10,1,1,6,0.57291054,53
217,1,3,9,9,0.633323829,6
218,4,10,6,6,0.229762084,30
219,6,6,9,0,0.394753565,53
220,9,8,10,5,0.029192903,88
221,5,1,0,7,0.788730319,46
222,3,4,2,1,0.627700751,80
223,9,3,1,3,0.405290545,45
224,8,1,4,9,0.961448392,46
225,2,1,0,6,0.940867231,28
226,3,5,1,0,0.826581629,70
227,6,10,5,6,0.477775117,98
228,1,9,3,0,0.174468518,87
229,10,9,5,5,0.917075566,64
