group/student,student 1,student 2,student 3,student 4
group 1,400,222,244,367
group 2,389,174,36,202
group 3,60,294,38,151
group 4,394,184,324,226
group 5,22,206,77,372
group 6,180,145,150,29
group 7,216,18,49,65
group 8,104,67,201,396
group 9,276,11,185,225
group 10,253,31,312,25
group 11,331,144,68,129
group 12,179,266,329,366
group 13,3,305,171,128
group 14,35,83,78,255
group 15,175,120,304,119
group 16,242,238,74,42
group 17,387,231,166,260
group 18,391,371,87,125
group 19,52,301,318,363
group 20,284,64,307,273
group 21,243,384,131,336
group 22,123,157,219,43
group 23,136,388,169,207
group 24,306,234,263,267
group 25,368,133,217,212
group 26,176,254,103,350
group 27,54,6,5,187
group 28,161,275,197,51
group 29,379,107,376,383
group 30,93,333,349,142
group 31,360,73,398,298
group 32,88,98,62,48
group 33,359,247,337,274
group 34,256,15,330,100
group 35,365,236,308,92
group 36,89,286,245,94
group 37,14,218,374,50
group 38,346,97,235,347
group 39,160,223,361,326
group 40,386,213,19,188
group 41,282,79,237,140
group 42,224,16,34,7
group 43,343,221,194,204
group 44,399,281,358,315
group 45,339,311,240,215
group 46,63,199,113,259
group 47,269,227,114,147
group 48,56,316,341,292
group 49,290,210,10,164
group 50,272,310,66,342
group 51,317,320,44,296
group 52,76,192,344,189
group 53,289,248,241,178
group 54,397,262,126,321
group 55,139,382,13,108
group 56,47,154,91,17
group 57,297,287,156,4
group 58,116,377,86,271
group 59,69,392,96,277
group 60,81,80,270,352
group 61,159,303,356,173
group 62,21,182,149,191
group 63,28,198,390,110
group 64,165,26,309,59
group 65,117,279,167,183
group 66,351,300,380,393
group 67,158,71,163,323
group 68,8,138,84,348
group 69,112,278,162,334
group 70,121,141,378,132
group 71,362,345,302,354
group 72,203,82,12,190
group 73,285,172,229,319
group 74,195,252,313,101
group 75,280,106,27,232
group 76,124,355,357,61
group 77,196,95,130,332
group 78,24,293,381,70
group 79,228,37,40,146
group 80,122,170,41,249
group 81,39,1,72,30
group 82,2,111,208,153
group 83,322,148,335,291
group 84,205,118,105,211
group 85,134,325,239,385
group 86,58,177,395,135
group 87,314,327,75,299
group 88,338,375,152,200
group 89,257,265,102,53
group 90,109,250,251,328
group 91,155,115,45,230
group 92,364,258,264,268
group 93,214,20,193,373
group 94,370,32,209,220
group 95,261,46,33,99
group 96,55,127,90,186
group 97,168,340,246,369
group 98,353,143,137,288
group 99,283,181,9,57
group 100,85,23,295,233
