group/student,student 1,student 2,student 3,student 4
group 1,135,88,306,390
group 2,386,2,151,6
group 3,85,157,396,290
group 4,191,213,21,392
group 5,263,116,212,201
group 6,357,361,44,397
group 7,108,144,301,81
group 8,318,50,239,87
group 9,93,38,237,329
group 10,221,305,12,315
group 11,120,366,373,371
group 12,350,19,66,56
group 13,233,343,363,119
group 14,251,335,146,326
group 15,308,204,347,113
group 16,253,91,337,381
group 17,242,188,53,172
group 18,20,312,68,356
group 19,175,105,360,374
group 20,82,317,28,63
group 21,165,391,112,140
group 22,275,252,379,79
group 23,83,372,352,180
group 24,331,319,184,195
group 25,261,115,334,304
group 26,258,198,41,11
group 27,235,279,238,17
group 28,345,225,244,218
group 29,109,328,78,295
group 30,399,248,358,367
group 31,74,276,52,281
group 32,234,59,54,257
group 33,313,65,158,208
group 34,99,128,382,69
group 35,380,92,316,1
group 36,121,35,181,90
group 37,145,217,49,177
group 38,57,291,302,375
group 39,264,355,182,362
group 40,100,40,365,45
group 41,230,249,226,311
group 42,37,231,67,118
group 43,384,147,133,190
group 44,10,398,185,278
group 45,43,166,98,132
group 46,216,107,124,338
group 47,95,103,60,196
group 48,178,24,325,348
group 49,149,199,383,297
group 50,174,323,393,13
group 51,394,287,167,8
group 52,129,228,314,222
group 53,34,4,160,77
group 54,84,150,39,111
group 55,387,29,16,262
group 56,285,187,33,30
group 57,298,106,277,159
group 58,342,136,346,131
group 59,280,64,122,169
group 60,236,155,73,23
group 61,227,186,143,127
group 62,130,309,61,210
group 63,9,265,269,240
group 64,321,202,137,296
group 65,125,47,94,385
group 66,307,148,324,310
group 67,247,207,142,349
group 68,354,333,299,400
group 69,377,206,205,75
group 70,214,76,171,3
group 71,266,209,289,89
group 72,189,62,126,192
group 73,15,203,134,25
group 74,183,200,176,241
group 75,370,215,138,141
group 76,353,72,80,369
group 77,339,27,284,168
group 78,286,26,229,232
group 79,22,152,211,256
group 80,7,114,14,193
group 81,395,274,388,58
group 82,292,197,31,36
group 83,173,110,48,96
group 84,378,359,86,282
group 85,344,220,389,163
group 86,250,351,294,223
group 87,5,102,271,246
group 88,194,268,272,154
group 89,117,164,341,18
group 90,322,139,254,170
group 91,332,255,101,273
group 92,123,156,267,376
group 93,245,327,51,153
group 94,260,55,243,161
group 95,288,259,162,320
group 96,364,283,46,42
group 97,303,104,71,368
group 98,340,300,224,70
group 99,330,270,293,219
group 100,179,97,32,336
