group/student,student 1,student 2,student 3,student 4
group 1,140,78,92,135
group 2,159,48,103,165
group 3,89,352,4,43
group 4,127,306,197,242
group 5,222,314,391,344
group 6,6,212,270,235
group 7,119,94,164,149
group 8,161,284,215,179
group 9,348,73,116,292
group 10,400,162,213,395
group 11,223,267,327,288
group 12,90,66,38,221
group 13,154,182,333,370
group 14,42,54,287,234
group 15,81,184,35,253
group 16,367,21,47,83
group 17,338,60,328,84
group 18,177,346,106,99
group 19,131,61,276,9
group 20,349,12,104,20
group 21,376,237,50,189
group 22,320,269,148,251
group 23,195,393,252,264
group 24,18,382,187,245
group 25,163,316,150,318
group 26,170,254,24,260
group 27,315,334,144,178
group 28,87,365,204,37
group 29,25,80,188,353
group 30,210,289,248,322
group 31,70,324,351,15
group 32,13,229,366,120
group 33,3,44,19,34
group 34,208,158,265,399
group 35,113,301,398,117
group 36,190,68,228,380
group 37,273,16,198,121
group 38,111,293,372,183
group 39,278,347,110,123
group 40,281,124,231,330
group 41,381,137,259,109
group 42,11,211,249,386
group 43,311,205,40,145
group 44,362,299,59,345
group 45,23,14,200,216
group 46,180,388,217,129
group 47,201,341,283,266
group 48,256,134,291,191
group 49,193,31,128,342
group 50,8,51,220,308
group 51,168,71,65,378
group 52,56,39,62,350
group 53,371,224,207,331
group 54,326,379,136,233
group 55,63,126,199,230
group 56,77,294,155,275
group 57,368,272,97,387
group 58,79,143,64,214
group 59,375,373,105,332
group 60,75,98,88,357
group 61,153,176,72,236
group 62,192,49,166,261
group 63,369,358,323,174
group 64,172,271,186,384
group 65,232,277,279,298
group 66,374,337,335,263
group 67,390,226,274,250
group 68,336,52,309,258
group 69,218,53,268,321
group 70,69,239,2,93
group 71,329,122,147,5
group 72,397,363,206,22
group 73,385,101,255,74
group 74,392,396,319,364
group 75,296,46,76,175
group 76,262,360,361,108
group 77,295,171,300,307
group 78,304,244,55,7
group 79,141,33,343,339
group 80,30,28,355,227
group 81,310,138,139,377
group 82,17,160,209,285
group 83,132,383,152,313
group 84,45,243,29,303
group 85,290,302,107,82
group 86,257,133,203,340
group 87,118,389,114,85
group 88,36,32,202,394
group 89,96,238,305,130
group 90,282,325,91,95
group 91,356,142,359,100
group 92,169,185,115,194
group 93,58,167,26,173
group 94,196,146,102,247
group 95,297,181,156,354
group 96,241,67,312,57
group 97,1,112,317,280
group 98,246,86,27,286
group 99,240,41,157,125
group 100,219,151,225,10
