id,c1,c2,c3,c4,c5,c6
1,9,5,1,10,0.864724651,18
2,9,7,2,4,0.959059717,51
3,8,9,9,5,0.72588771,25
4,7,8,4,5,0.369431021,72
5,2,8,4,7,0.229507142,9
6,6,3,1,9,0.674050534,55
7,1,8,0,5,0.551855538,42
8,0,10,5,2,0.905584885,72
9,6,7,10,10,0.883546583,8
10,10,8,0,4,0.107437194,10
11,1,10,4,7,0.542061662,61
12,10,8,9,3,0.857897063,79
13,9,2,6,3,0.843912594,16
14,7,10,0,9,0.50640717,20
15,4,10,1,7,0.164749234,2
16,2,6,2,6,0.89665583,41
17,8,1,2,7,0.522696436,63
18,2,6,3,3,0.702012728,34
19,10,1,2,5,0.391593213,82
20,1,1,10,2,0.130280054,68
21,9,10,4,1,0.554980645,88
22,9,4,3,2,0.779036129,54
23,7,6,6,1,0.342313809,78
24,5,10,0,6,0.661431317,59
25,3,10,10,10,0.245157455,47
26,8,3,7,7,0.954947036,58
27,10,1,6,0,0.389916847,20
28,8,9,6,4,0.765116698,72
29,1,6,0,4,0.938742832,98
30,8,0,8,8,0.837186418,42
31,1,0,8,6,0.344213114,56
32,5,3,1,6,0.825140355,58
33,1,4,2,2,0.492535427,99
34,10,9,0,7,0.675034405,39
35,10,6,8,0,0.09208552,50
36,1,0,6,2,0.897048721,26
37,5,0,4,6,0.695806963,81
38,7,10,10,2,0.813979523,1
39,4,0,0,2,0.727398995,1
40,6,8,9,5,0.4789365,39
41,1,4,2,4,0.094065174,91
42,0,4,2,0,0.514416803,68
43,8,3,2,5,0.490139239,79
44,7,10,3,0,0.918172356,9
45,6,9,9,9,0.107738373,29
46,6,8,6,5,0.327766176,8
47,7,5,8,1,0.615478318,53
48,4,3,7,4,0.966329474,64
49,5,8,7,2,0.333070949,28
50,4,10,9,0,0.438282758,55
51,4,1,10,10,0.819775421,12
52,1,9,6,5,0.141142581,64
53,4,10,8,6,0.382080542,70
54,1,10,3,4,0.959318856,51
55,0,2,7,0,0.344350255,95
56,8,4,7,5,0.251549041,43
57,6,1,6,0,0.740727035,8
58,4,0,6,9,0.615978204,38
59,6,5,6,4,0.832192155,7
60,5,1,7,7,0.202107713,49
61,6,1,10,5,0.894358771,44
62,2,4,3,0,0.480503115,1
63,3,6,10,7,0.861135574,45
64,5,2,9,9,0.033339908,73
65,2,3,4,8,0.242810965,38
66,2,4,9,3,0.073407138,100
67,8,3,9,3,0.775211755,34
68,10,9,7,3,0.040835927,11
69,4,9,4,8,0.151157649,73
70,2,1,7,4,0.497697693,5
71,10,8,6,7,0.180810694,81
72,0,8,10,4,0.801781698,26
73,3,0,0,5,0.831201622,70
74,6,3,0,10,0.691063733,92
75,1,1,3,6,0.728687444,91
76,6,10,2,0,0.362990463,37
77,1,0,0,4,0.812249714,28
78,4,10,2,1,0.714455251,26
79,3,1,4,9,0.809302489,31
80,0,6,1,5,0.311254102,60
81,10,5,1,4,0.398193248,17
82,7,5,10,5,0.204889642,74
83,6,10,6,9,0.119006026,29
84,10,0,9,4,0.246219008,51
85,5,9,0,4,0.267187665,99
86,1,10,9,3,0.188578089,59
87,10,4,9,5,0.365898885,93
88,5,5,4,2,0.518224005,55
89,9,1,2,9,0.033253816,57
90,10,10,2,8,0.607111718,40
91,4,2,6,4,0.32062151,59
92,4,0,2,4,0.507675026,26
93,3,4,3,6,0.131496748,28
94,1,10,1,3,0.640064993,80
95,2,2,7,9,0.178132387,61
96,1,2,5,7,0.343552317,14
97,1,1,3,7,0.510366893,48
98,9,2,8,5,0.288807647,15
99,3,2,8,9,0.576731453,55
100,0,6,8,5,0.951191826,59
101,9,8,6,1,0.487899887,8
102,6,7,4,2,0.927313498,94
103,3,6,2,8,0.25188476,32
104,6,6,8,5,0.459760461,27
105,9,3,9,0,0.609913425,50
106,6,10,3,9,0.044358097,28
107,0,6,8,0,0.050629567,45
108,7,3,6,1,0.798779612,55
109,8,10,0,9,0.79425823,31
110,10,2,8,7,0.583749237,42
111,9,5,8,8,0.583031712,51
112,5,10,7,5,0.181614981,4
113,2,2,2,4,0.943238612,86
114,4,4,7,10,0.290553493,45
115,2,0,8,8,0.046219294,31
116,3,9,2,3,0.116075225,85
117,3,3,10,5,0.760746175,27
118,9,5,0,4,0.297076064,69
119,7,4,4,2,0.298237726,20
120,1,4,6,9,0.811442586,35
121,0,7,0,4,0.686066047,73
122,7,9,1,6,0.749524335,0
123,8,3,5,0,0.327977336,81
124,7,4,0,2,0.927964867,75
125,4,10,2,6,0.291941204,90
126,8,3,3,2,0.801521129,21
127,9,6,6,8,0.19479516,98
128,9,2,9,3,0.163606107,34
129,10,1,2,0,0.237776176,87
130,7,10,0,3,0.33948735,10
131,3,5,5,4,0.624652899,17
132,1,2,1,10,0.233477177,71
133,2,10,1,1,0.752788422,36
134,0,9,2,1,0.117076639,38
135,9,10,3,1,0.802634574,24
136,7,9,9,7,0.492319648,33
137,10,4,4,10,0.912908172,30
138,5,2,5,3,0.018342926,91
139,8,6,3,0,0.532528894,4
140,0,8,4,3,0.930842752,78
141,0,9,6,4,0.980404116,62
142,10,5,7,1,0.147260826,12
143,7,0,8,9,0.494485315,21
144,8,1,10,4,0.881053513,30
145,9,0,9,10,0.473245728,22
146,4,0,10,1,0.534693716,65
147,6,7,9,4,0.072910417,50
148,5,8,3,8,0.559255795,18
149,8,4,1,2,0.751546632,8
150,9,3,0,4,0.140913368,7
151,1,8,4,8,0.478115183,61
152,6,8,4,6,0.931241791,66
153,8,4,5,8,0.195278237,25
154,6,5,5,10,0.682094331,25
155,4,0,8,4,0.922212857,85
156,5,4,1,9,0.73997372,3
157,8,1,7,5,0.053112439,47
158,10,8,9,5,0.889576552,39
159,7,0,5,8,0.824269998,36
160,5,1,7,7,0.130501949,98
161,10,6,6,6,0.913029999,57
162,5,1,5,7,0.848324971,56
163,8,6,2,1,0.346071449,30
164,8,8,1,1,0.083830817,29
165,0,0,1,6,0.280745658,98
166,0,1,2,9,0.923199355,90
167,4,6,6,7,0.44402062,73
168,0,3,3,10,0.488858133,61
169,1,1,1,10,0.880188683,42
170,4,4,6,2,0.621192788,6
171,0,4,2,5,0.178925223,84
172,4,10,6,8,0.940211115,85
173,1,6,8,5,0.556524059,29
174,0,10,4,2,0.065299285,32
175,6,9,4,9,0.964959176,9
176,7,9,1,1,0.695860758,88
177,4,4,7,7,0.744920776,91
178,7,10,9,8,0.926482185,28
179,7,1,0,0,0.195295258,56
180,8,6,8,9,0.67020129,29
181,5,3,1,8,0.929730116,13
182,10,8,2,5,0.448320633,97
183,2,2,5,3,0.633756986,98
184,7,0,9,6,0.485455509,73
185,9,7,1,4,0.359763888,29
186,9,0,2,9,0.330978523,63
187,1,10,0,8,0.781970718,60
188,8,5,2,4,0.148011253,60
189,3,4,5,0,0.471936428,97
190,1,6,10,1,0.21997282,33
191,6,1,5,1,0.349175516,60
192,1,6,8,1,0.653860347,51
193,7,9,5,3,0.117791837,62
194,9,10,5,6,0.378103493,50
195,10,2,6,4,0.049320329,49
196,3,5,1,8,0.010068057,14
197,2,10,1,4,0.147415705,63
198,9,3,2,4,0.799164294,23
199,0,4,5,5,0.560915687,17
200,3,4,9,8,0.399959582,22
201,8,9,8,1,0.317877661,45
202,10,4,10,10,0.70245234,65
203,9,8,4,0,0.868377061,56
204,0,9,2,6,0.785644222,100
205,5,2,9,6,0.669985082,41
206,2,7,5,4,0.479987429,90
207,10,9,9,10,0.640033979,51
208,2,6,8,3,0.546498574,33
209,10,8,2,2,0.004680096,62
210,4,0,1,10,0.835352008,14
211,1,7,8,3,0.226622459,98
212,10,9,2,2,0.253249462,25
213,3,9,8,5,0.211651602,14
214,3,1,1,7,0.617719466,52
215,7,1,6,10,0.358514718,91
216,6,2,1,7,0.915789685,56
217,4,0,3,1,0.217508324,7
218,0,6,4,1,0.666398712,27
219,0,5,4,4,0.810455483,30
220,1,10,0,10,0.151513289,20
221,4,4,6,6,0.960287097,35
