group/student,student 1,student 2,student 3,student 4
group 1,148,273,147,49
group 2,256,171,480,443
group 3,465,282,327,483
group 4,56,440,497,456
group 5,53,200,68,17
group 6,398,358,46,3
group 7,66,472,338,329
group 8,344,466,54,14
group 9,416,225,236,223
group 10,176,395,313,96
group 11,337,69,140,402
group 12,103,393,175,104
group 13,462,108,307,494
group 14,251,82,87,320
group 15,61,446,343,389
group 16,262,8,403,41
group 17,52,300,326,210
group 18,29,324,76,143
group 19,106,81,409,146
group 20,286,477,434,489
group 21,316,22,261,384
group 22,20,114,284,481
group 23,399,373,266,90
group 24,86,83,356,361
group 25,138,427,319,476
group 26,463,349,185,404
group 27,382,124,308,162
group 28,315,36,4,62
group 29,277,178,150,479
group 30,181,422,447,298
group 31,239,32,18,374
group 32,288,189,167,362
group 33,116,9,79,342
group 34,78,306,117,397
group 35,381,442,226,354
group 36,347,453,101,408
group 37,24,411,420,332
group 38,339,331,145,119
group 39,267,188,252,126
group 40,170,95,34,244
group 41,212,208,183,299
group 42,317,11,415,155
group 43,174,291,98,80
group 44,452,43,245,249
group 45,233,460,201,156
group 46,166,224,243,242
group 47,133,37,431,310
group 48,105,484,220,417
group 49,151,157,180,39
group 50,193,84,265,405
group 51,88,412,305,491
group 52,6,13,418,187
group 53,15,441,454,33
group 54,250,125,110,499
group 55,493,487,425,218
group 56,396,469,378,345
group 57,30,12,461,44
group 58,280,207,47,351
group 59,123,293,423,72
group 60,390,5,40,352
group 61,486,428,26,77
group 62,59,270,137,51
group 63,429,275,449,496
group 64,365,335,27,303
group 65,467,346,448,227
group 66,311,438,21,413
group 67,2,214,340,177
group 68,130,498,386,38
group 69,234,135,128,55
group 70,102,113,264,192
group 71,199,197,421,341
group 72,360,89,232,71
group 73,458,281,379,230
group 74,19,190,278,392
group 75,322,165,120,492
group 76,164,488,100,241
group 77,169,419,414,240
group 78,312,7,70,247
group 79,211,500,31,334
group 80,323,93,274,478
group 81,321,355,336,394
group 82,424,302,209,283
group 83,160,470,248,23
group 84,63,112,380,371
group 85,97,318,222,295
group 86,364,75,153,471
group 87,60,139,400,121
group 88,366,475,204,437
group 89,205,136,292,430
group 90,309,109,410,231
group 91,91,168,304,260
group 92,385,64,276,377
group 93,388,58,297,485
group 94,285,258,65,194
group 95,159,94,213,263
group 96,238,217,158,202
group 97,186,464,163,287
group 98,271,269,330,439
group 99,172,474,370,57
group 100,25,482,367,74
group 101,444,191,198,92
group 102,144,495,359,436
group 103,48,195,407,445
group 104,142,107,363,383
group 105,67,42,28,219
group 106,459,237,473,272
group 107,118,141,196,368
group 108,432,216,132,294
group 109,215,290,268,173
group 110,149,16,375,433
group 111,221,357,50,253
group 112,229,129,289,350
group 113,457,184,353,257
group 114,435,246,73,235
group 115,450,115,376,490
group 116,314,401,154,111
group 117,372,391,426,296
group 118,254,301,85,406
group 119,455,468,206,182
group 120,228,255,122,259
group 121,131,333,179,161
group 122,134,10,387,203
group 123,369,1,328,451
group 124,99,127,325,45
group 125,348,279,152,35
