group/student,student 1,student 2,student 3,student 4
group 1,156,237,444,344
group 2,268,78,473,472
group 3,85,390,391,74
group 4,135,492,445,308
group 5,255,475,131,294
group 6,176,270,56,20
group 7,41,247,352,451
group 8,428,13,417,64
group 9,251,81,353,202
group 10,182,286,293,209
group 11,494,330,476,14
group 12,245,53,329,280
group 13,100,421,67,27
group 14,158,262,435,382
group 15,116,213,284,484
group 16,402,239,88,68
group 17,113,61,434,44
group 18,121,407,263,145
group 19,62,395,221,363
group 20,350,52,108,150
group 21,171,310,498,357
group 22,73,192,92,419
group 23,371,195,136,207
group 24,143,311,206,297
group 25,355,427,200,441
group 26,271,490,302,469
group 27,76,442,289,29
group 28,203,320,354,375
group 29,401,347,325,165
group 30,479,216,398,234
group 31,186,324,59,405
group 32,257,269,205,462
group 33,412,449,4,39
group 34,34,2,185,413
group 35,164,418,337,217
group 36,181,96,162,317
group 37,261,58,438,422
group 38,327,252,126,51
group 39,33,312,180,1
group 40,137,218,340,381
group 41,168,117,111,409
group 42,410,118,233,66
group 43,215,189,338,275
group 44,125,26,17,77
group 45,211,314,193,380
group 46,197,481,48,36
group 47,133,11,177,129
group 48,496,80,222,331
group 49,83,5,32,341
group 50,87,420,468,332
group 51,393,342,119,115
group 52,497,304,229,467
group 53,482,69,334,358
group 54,223,256,188,232
group 55,144,82,336,134
group 56,42,267,163,452
group 57,366,161,373,10
group 58,367,415,477,351
group 59,470,374,40,15
group 60,139,335,6,276
group 61,196,102,23,319
group 62,112,384,466,309
group 63,361,243,369,228
group 64,416,184,433,443
group 65,254,323,194,408
group 66,84,95,65,356
group 67,377,406,173,499
group 68,487,285,97,169
group 69,138,426,306,300
group 70,231,404,389,333
group 71,378,272,191,411
group 72,446,79,339,491
group 73,400,457,463,318
group 74,30,219,47,240
group 75,436,31,471,368
group 76,303,456,91,396
group 77,379,274,296,253
group 78,106,301,104,230
group 79,292,71,153,38
group 80,90,299,151,166
group 81,19,198,37,109
group 82,287,388,383,72
group 83,146,128,242,55
group 84,450,63,478,236
group 85,431,120,16,178
group 86,281,157,18,86
group 87,212,225,244,204
group 88,155,98,359,174
group 89,277,159,43,25
group 90,130,432,46,89
group 91,140,322,208,307
group 92,127,183,260,9
group 93,488,372,392,493
group 94,75,149,227,387
group 95,105,147,167,316
group 96,248,295,170,447
group 97,142,429,365,305
group 98,124,123,49,175
group 99,455,360,279,132
group 100,50,110,214,265
group 101,273,448,461,8
group 102,453,424,114,483
group 103,45,370,349,474
group 104,464,249,430,187
group 105,94,290,288,283
group 106,172,70,152,179
group 107,241,7,99,246
group 108,394,345,278,12
group 109,364,403,480,425
group 110,343,24,60,495
group 111,414,397,313,235
group 112,454,458,28,226
group 113,385,348,258,465
group 114,376,101,22,500
group 115,264,326,148,210
group 116,489,238,321,107
group 117,54,201,386,440
group 118,160,3,93,224
group 119,282,259,199,459
group 120,122,439,298,220
group 121,266,486,154,437
group 122,21,362,485,460
group 123,250,291,315,190
group 124,141,423,103,35
group 125,57,346,399,328
