group/student,student 1,student 2,student 3,student 4
group 1,403,57,392,382
group 2,270,186,315,309
group 3,157,241,399,179
group 4,120,287,111,319
group 5,147,402,369,265
group 6,159,489,40,232
group 7,360,401,97,356
group 8,31,303,473,308
group 9,63,75,188,166
group 10,374,350,289,169
group 11,395,261,433,294
group 12,384,245,365,380
group 13,184,41,194,297
group 14,80,255,32,14
group 15,79,84,438,333
group 16,237,197,260,39
group 17,259,416,353,66
group 18,243,62,99,413
group 19,424,124,296,411
group 20,458,85,206,387
group 21,161,453,258,483
group 22,61,155,466,419
group 23,492,196,417,452
group 24,274,377,92,474
group 25,475,139,114,305
group 26,290,455,221,316
group 27,481,400,229,443
group 28,52,33,476,462
group 29,58,212,208,331
group 30,269,479,43,64
group 31,267,414,313,276
group 32,342,54,136,9
group 33,82,450,48,459
group 34,70,410,65,381
group 35,262,130,338,253
group 36,239,158,477,317
group 37,102,264,199,150
group 38,2,50,349,210
group 39,407,143,302,300
group 40,11,142,173,472
group 41,397,21,435,51
group 42,426,121,104,495
group 43,149,412,93,178
group 44,252,42,18,145
group 45,423,45,337,234
group 46,427,393,321,405
group 47,418,137,148,29
group 48,118,182,60,422
group 49,370,113,471,55
group 50,301,160,152,447
group 51,406,366,389,441
group 52,218,281,329,89
group 53,201,106,263,38
group 54,7,116,498,77
group 55,324,292,47,246
group 56,192,19,167,437
group 57,195,83,359,230
group 58,314,364,434,68
group 59,98,371,461,165
group 60,183,379,445,235
group 61,345,446,22,493
group 62,439,87,468,175
group 63,3,343,154,425
group 64,429,122,222,236
group 65,347,223,180,36
group 66,390,203,306,363
group 67,189,144,352,465
group 68,117,34,163,187
group 69,490,361,386,86
group 70,304,431,56,368
group 71,348,172,162,190
group 72,372,211,170,280
group 73,78,112,16,332
group 74,24,277,336,72
group 75,286,497,233,467
group 76,415,250,103,129
group 77,247,168,126,409
group 78,13,268,278,344
group 79,448,94,49,460
group 80,81,464,444,408
group 81,101,138,91,440
group 82,326,494,339,328
group 83,457,176,4,1
group 84,213,482,191,209
group 85,456,76,391,207
group 86,362,73,430,134
group 87,335,385,151,15
group 88,198,254,485,341
group 89,5,133,244,351
group 90,432,273,67,220
group 91,404,141,131,12
group 92,256,30,279,10
group 93,285,282,214,396
group 94,249,257,177,44
group 95,110,231,398,174
group 96,388,266,242,35
group 97,346,355,463,217
group 98,123,171,480,240
group 99,486,105,325,27
group 100,216,215,205,375
group 101,95,135,153,204
group 102,421,376,227,202
group 103,320,181,23,107
group 104,291,436,200,109
group 105,26,470,334,20
group 106,330,156,298,500
group 107,449,146,37,283
group 108,311,378,185,275
group 109,312,140,193,469
group 110,299,488,88,226
group 111,53,496,284,228
group 112,238,394,478,491
group 113,96,90,340,358
group 114,322,367,354,224
group 115,219,428,59,307
group 116,69,271,119,318
group 117,442,125,373,451
group 118,420,127,28,25
group 119,323,327,383,499
group 120,310,487,108,8
group 121,225,164,46,115
group 122,128,248,293,74
group 123,295,454,288,132
group 124,272,100,17,357
group 125,71,251,6,484
