id,c1,c2,c3,c4,c5,c6
1,5,0,6,9,0.108063642,53
2,1,10,5,0,0.651214769,85
3,6,6,5,5,0.921314647,65
4,1,10,3,7,0.448496194,89
5,4,6,10,2,0.139227862,55
6,9,4,9,4,0.537470974,80
7,6,0,1,3,0.52751792,62
8,5,5,8,10,0.079029702,46
9,3,7,9,6,0.769110176,74
10,2,2,5,7,0.837803096,63
11,9,6,1,8,0.415716523,96
12,8,6,9,10,0.650161246,90
13,2,0,4,2,0.112635108,2
14,1,3,7,10,0.338039209,28
15,7,10,10,0,0.893399141,4
16,9,0,2,0,0.591131956,83
17,7,5,4,1,0.133912683,5
18,4,7,10,0,0.158141812,8
19,2,1,8,2,0.420273548,99
20,4,6,1,6,0.892373468,53
21,9,0,8,2,0.072922314,64
22,8,8,0,0,0.185392431,39
23,9,7,0,8,0.733777307,37
24,9,7,4,7,0.462920808,9
25,6,0,1,1,0.956389061,2
26,1,7,6,8,0.789380764,21
27,8,2,7,9,0.644098658,97
28,1,0,8,5,0.962817271,85
29,3,7,0,10,0.666755242,85
30,9,2,10,6,0.638901272,8
31,5,5,1,6,0.847569918,93
32,0,2,2,4,0.955260381,92
33,7,3,8,2,0.297338106,53
34,0,2,7,1,0.755233176,58
35,4,8,5,5,0.125135587,13
36,5,1,10,4,0.01636055,3
37,1,5,7,9,0.130341723,66
38,7,3,3,3,0.195359184,19
39,9,1,0,5,0.472793406,56
40,1,0,2,3,0.367450029,25
41,10,2,2,6,0.894190638,58
42,7,10,1,9,0.719267892,100
43,5,5,9,6,0.269311451,42
44,4,10,6,2,0.810641148,59
45,7,10,9,6,0.762033438,51
46,0,9,9,8,0.399619491,62
47,8,4,0,6,0.277605127,62
48,1,1,1,0,0.005646054,88
49,7,5,8,4,0.963851598,8
50,2,7,3,1,0.621859805,65
51,5,0,8,5,0.379076882,25
52,0,0,9,0,0.516272928,41
53,10,0,1,5,0.162859043,88
54,0,9,1,8,0.461659931,27
55,10,10,4,9,0.207062582,86
56,2,10,5,3,0.533171048,11
57,3,6,7,9,0.310200292,22
58,1,7,8,9,0.894141226,54
59,2,10,6,0,0.955350019,26
60,5,0,4,0,0.484978422,36
61,4,1,0,10,0.518650017,43
62,5,4,10,4,0.377569511,73
63,6,3,3,7,0.760523396,66
64,2,10,6,1,0.113244496,74
65,2,5,10,9,0.015537724,61
66,5,6,3,0,0.001744946,93
67,0,1,3,4,0.410655105,58
68,1,3,9,2,0.504262681,89
69,0,8,8,1,0.897430588,70
70,3,2,1,1,0.91888187,57
71,5,0,1,5,0.628526133,99
72,0,5,8,9,0.864049734,4
73,6,2,0,10,0.895163778,97
74,1,9,4,5,0.16652984,12
75,6,7,5,2,0.294966541,38
76,0,10,8,8,0.816454558,75
77,2,8,1,8,0.481778734,75
78,0,3,2,9,0.108204125,81
79,6,6,5,3,0.69719071,79
80,3,8,6,2,0.720307717,41
81,6,2,0,6,0.009276757,47
82,8,8,10,5,0.7619794,69
83,2,8,4,7,0.209120896,23
84,10,2,6,9,0.24029044,55
85,1,10,5,5,0.339562046,85
86,0,6,2,2,0.099934756,11
87,0,3,8,7,0.040660861,94
88,9,0,10,8,0.159328918,50
89,3,1,9,2,0.931144885,37
90,7,5,4,3,0.680065024,54
91,7,8,8,9,0.578507474,79
92,4,0,2,4,0.841151773,33
93,3,1,8,6,0.209313928,21
94,0,10,0,0,0.209769525,28
95,6,9,3,8,0.311146176,89
96,7,3,9,10,0.280473431,58
97,8,2,1,8,0.08731824,75
98,1,7,5,8,0.059517831,97
99,10,4,6,0,0.41579794,8
100,5,2,2,9,0.244499705,17
101,9,4,10,5,0.443851293,48
102,3,2,8,2,0.375565866,57
103,1,7,3,9,0.213344589,25
104,5,1,6,0,0.156696108,45
105,5,4,10,4,0.568278216,95
106,10,10,4,8,0.528760148,47
107,6,3,9,7,0.136669419,25
108,0,6,8,7,0.059060293,72
109,9,0,9,10,0.687252668,69
110,10,8,1,4,0.67801069,92
111,9,9,8,1,0.293269575,72
112,8,10,1,8,0.64453317,70
113,4,7,6,2,0.273025739,26
114,4,0,6,5,0.70117139,60
115,4,9,4,8,0.897850458,74
116,3,0,1,6,0.856746062,83
117,2,4,1,3,0.135510196,6
118,6,7,1,2,0.932763637,26
119,0,9,3,2,0.820833396,52
120,9,3,8,7,0.628882281,28
121,4,5,7,9,0.625945579,8
122,5,1,4,10,0.480576742,78
123,7,9,6,5,0.768501733,73
124,1,4,5,0,0.089426332,7
125,4,4,0,10,0.324008453,41
126,4,4,2,3,0.187600555,17
127,4,7,0,2,0.474969763,95
128,5,10,4,5,0.977498293,74
129,4,3,2,2,0.086307428,75
130,0,2,6,8,0.192676339,3
131,4,3,5,8,0.831714619,94
132,4,8,2,10,0.267931768,51
133,0,3,6,6,0.694163651,4
134,4,10,10,9,0.457981677,30
135,10,9,10,6,0.157703567,4
136,8,8,3,7,0.21747674,80
137,10,7,8,3,0.835025725,43
138,5,7,5,7,0.92047183,11
139,3,1,9,2,0.245412477,25
140,6,1,6,9,0.187544138,26
141,9,0,1,0,0.898621326,46
142,9,6,1,4,0.827194529,19
143,7,1,5,1,0.536819318,67
144,7,3,4,9,0.04971772,46
145,9,3,8,1,0.975478747,97
146,6,6,10,9,0.660594687,29
147,1,6,2,8,0.403383441,25
148,9,1,4,10,0.961884404,77
149,2,9,10,3,0.031887547,66
150,2,5,8,10,0.808688838,37
151,9,2,9,6,0.74465936,99
152,9,4,5,1,0.826091823,3
153,5,7,4,10,0.973917219,11
154,3,6,8,1,0.487029901,81
155,7,1,9,9,0.642123794,5
156,0,5,4,3,0.633584652,46
157,3,1,6,2,0.622728904,39
158,0,7,1,7,0.576065089,64
159,7,10,8,6,0.922224689,66
160,4,10,5,3,0.391430843,47
161,1,9,4,3,0.277334439,76
162,1,8,2,5,0.829267161,54
163,7,6,7,3,0.583904902,100
164,8,6,5,4,0.136832021,17
165,2,1,4,0,0.227786583,1
166,4,9,8,8,0.246786512,27
167,4,2,8,9,0.290595907,8
168,6,4,1,5,0.853468254,30
169,7,7,5,4,0.183920255,13
170,6,2,5,7,0.23014223,55
171,5,0,2,9,0.662496835,97
172,8,0,3,8,0.936651225,26
173,5,2,9,3,0.730946476,16
174,5,3,6,8,0.414279165,20
175,4,0,5,4,0.665294958,39
176,10,5,0,0,0.227729089,72
177,7,2,0,0,0.322685851,46
178,5,3,1,3,0.32561541,83
179,8,7,8,6,0.152103469,45
180,1,1,5,4,0.269458673,76
181,2,6,4,1,0.663031225,54
182,6,6,3,4,0.490151263,100
183,1,6,5,6,0.841923747,24
184,1,3,9,10,0.768111227,22
185,4,0,9,3,0.162026539,42
186,5,10,10,8,0.900241759,79
187,10,0,1,5,0.969744574,62
188,5,1,4,5,0.25637132,97
189,7,8,8,6,0.31010189,0
190,2,2,3,6,0.247290233,35
191,4,8,4,2,0.190066219,22
192,9,3,10,9,0.510591983,45
193,0,0,6,2,0.861342658,11
194,9,3,9,0,0.069391474,67
195,6,10,2,10,0.534212462,57
