group/student,student 1,student 2,student 3,student 4
group 1,419,407,581,504
group 2,566,395,12,309
group 3,202,168,343,273
group 4,416,178,538,600
group 5,245,190,517,315
group 6,359,163,530,229
group 7,256,63,4,100
group 8,99,120,70,235
group 9,13,541,192,469
group 10,404,83,320,144
group 11,238,222,336,26
group 12,172,440,118,131
group 13,294,493,437,279
group 14,396,425,483,422
group 15,332,450,490,499
group 16,551,248,142,371
group 17,69,308,577,384
group 18,520,223,528,24
group 19,73,575,537,456
group 20,559,101,303,265
group 21,186,390,56,232
group 22,134,484,58,368
group 23,552,533,392,129
group 24,155,379,316,37
group 25,589,410,449,7
group 26,473,464,287,162
group 27,76,455,338,571
group 28,543,314,333,327
group 29,479,526,27,147
group 30,510,38,536,306
group 31,266,576,198,467
group 32,356,174,471,561
group 33,585,57,331,553
group 34,228,157,387,84
group 35,153,79,567,166
group 36,66,201,325,583
group 37,353,497,562,377
group 38,52,113,17,140
group 39,269,445,117,95
group 40,584,558,262,45
group 41,29,574,177,92
group 42,366,518,563,278
group 43,130,197,260,436
group 44,149,494,427,578
group 45,482,402,573,492
group 46,462,75,214,1
group 47,373,591,594,434
group 48,335,568,74,342
group 49,369,221,280,267
group 50,446,231,85,281
group 51,148,283,391,44
group 52,241,487,485,503
group 53,417,80,477,319
group 54,299,527,426,317
group 55,337,143,548,173
group 56,145,274,128,91
group 57,596,216,211,572
group 58,55,179,225,470
group 59,272,547,329,296
group 60,310,554,301,351
group 61,282,381,34,96
group 62,109,205,388,597
group 63,176,376,476,105
group 64,439,312,393,432
group 65,506,200,511,411
group 66,18,121,523,290
group 67,206,307,49,323
group 68,59,212,418,31
group 69,25,365,137,375
group 70,357,496,220,525
group 71,194,340,277,218
group 72,116,224,370,254
group 73,480,160,564,521
group 74,431,507,524,347
group 75,19,532,210,442
group 76,293,352,304,580
group 77,151,126,159,82
group 78,408,35,454,302
group 79,171,452,421,138
group 80,555,291,89,161
group 81,358,593,240,6
group 82,448,275,466,107
group 83,141,570,443,348
group 84,415,414,588,362
group 85,32,50,236,460
group 86,110,289,40,346
group 87,42,360,498,150
group 88,244,508,112,188
group 89,16,324,423,398
group 90,268,102,472,189
group 91,193,463,430,196
group 92,420,10,14,400
group 93,259,203,249,565
group 94,413,326,592,542
group 95,459,545,529,215
group 96,531,114,468,242
group 97,48,9,488,227
group 98,217,382,247,8
group 99,72,285,71,424
group 100,345,199,344,47
group 101,406,253,401,125
group 102,94,515,97,318
group 103,433,123,41,428
group 104,15,514,489,334
group 105,598,328,549,582
group 106,65,271,535,276
group 107,208,156,68,60
group 108,339,500,263,5
group 109,522,457,534,67
group 110,86,3,447,599
group 111,54,341,127,475
group 112,465,233,252,195
group 113,88,175,595,132
group 114,135,354,23,441
group 115,461,181,399,136
group 116,230,183,557,158
group 117,2,405,295,444
group 118,36,62,367,579
group 119,321,385,207,495
group 120,187,164,119,209
group 121,243,364,106,397
group 122,64,51,108,300
group 123,21,539,139,270
group 124,386,311,412,115
group 125,28,90,185,146
group 126,22,546,133,550
group 127,98,363,152,544
group 128,403,43,61,103
group 129,53,257,361,297
group 130,204,169,389,298
group 131,429,170,261,104
group 132,78,182,478,122
group 133,586,20,167,39
group 134,560,502,226,213
group 135,587,255,505,516
group 136,540,474,246,409
group 137,250,355,491,350
group 138,219,286,372,77
group 139,513,258,111,313
group 140,394,458,11,453
group 141,124,509,451,435
group 142,184,191,81,234
group 143,556,154,237,251
group 144,46,378,590,486
group 145,30,288,519,180
group 146,165,330,239,512
group 147,374,569,380,93
group 148,87,284,264,292
group 149,305,481,322,501
group 150,438,33,383,349
