group/student,student 1,student 2,student 3,student 4
group 1,311,61,276,584
group 2,494,68,553,462
group 3,575,11,158,531
group 4,452,210,5,98
group 5,307,320,96,374
group 6,275,562,565,110
group 7,546,449,31,109
group 8,457,226,232,357
group 9,474,523,84,29
group 10,216,421,47,186
group 11,169,389,129,25
group 12,285,85,347,64
group 13,197,391,583,448
group 14,222,237,273,78
group 15,360,372,599,238
group 16,508,338,180,204
group 17,183,14,146,230
group 18,200,331,544,506
group 19,174,380,409,566
group 20,253,590,348,48
group 21,50,70,467,69
group 22,364,106,138,153
group 23,80,117,486,53
group 24,539,325,384,396
group 25,568,41,323,356
group 26,57,489,306,335
group 27,101,468,144,513
group 28,289,490,428,596
group 29,284,535,125,404
group 30,257,277,265,339
group 31,121,260,362,241
group 32,175,498,375,145
group 33,102,344,296,59
group 34,363,524,103,479
group 35,541,437,475,13
group 36,390,295,131,54
group 37,164,336,342,208
group 38,576,236,251,560
group 39,120,119,550,559
group 40,515,476,67,149
group 41,405,56,8,420
group 42,312,220,572,193
group 43,554,412,267,332
group 44,547,247,432,359
group 45,224,361,45,16
group 46,114,27,227,124
group 47,574,58,350,438
group 48,163,252,91,94
group 49,212,548,150,250
group 50,83,478,499,417
group 51,355,588,278,520
group 52,532,111,93,482
group 53,113,447,582,171
group 54,514,118,516,15
group 55,221,262,300,266
group 56,291,12,600,272
group 57,509,152,512,540
group 58,326,239,122,413
group 59,314,263,397,321
group 60,157,401,315,30
group 61,274,198,166,116
group 62,440,592,195,259
group 63,481,89,100,55
group 64,533,528,105,394
group 65,526,483,424,473
group 66,9,112,254,73
group 67,203,471,578,465
group 68,123,322,313,86
group 69,445,537,107,151
group 70,63,423,444,187
group 71,38,23,470,305
group 72,593,534,161,76
group 73,182,488,504,551
group 74,286,466,44,172
group 75,569,595,317,28
group 76,354,594,371,32
group 77,352,367,434,406
group 78,233,133,290,245
group 79,255,519,319,219
group 80,450,387,213,586
group 81,156,564,351,99
group 82,330,443,309,202
group 83,484,287,441,598
group 84,126,370,60,22
group 85,545,185,115,135
group 86,402,393,82,556
group 87,308,71,77,543
group 88,378,581,215,345
group 89,201,392,95,184
group 90,75,34,302,194
group 91,464,529,189,72
group 92,496,142,580,337
group 93,382,549,346,21
group 94,407,74,292,165
group 95,178,557,456,293
group 96,410,343,571,386
group 97,341,108,92,510
group 98,160,246,297,18
group 99,90,225,136,228
group 100,497,451,298,141
group 101,395,40,436,36
group 102,500,128,501,87
group 103,463,573,242,52
group 104,518,530,495,310
group 105,10,563,188,419
group 106,283,427,24,282
group 107,591,49,398,299
group 108,35,167,400,403
group 109,143,383,442,358
group 110,223,511,492,294
group 111,425,577,411,243
group 112,154,538,39,459
group 113,20,159,173,268
group 114,570,97,234,461
group 115,168,388,162,256
group 116,487,240,521,130
group 117,231,477,6,416
group 118,51,472,140,65
group 119,381,137,469,217
group 120,190,418,235,415
group 121,558,329,349,431
group 122,328,280,377,408
group 123,258,4,7,429
group 124,385,399,26,155
group 125,365,192,327,587
group 126,324,536,435,66
group 127,179,316,542,42
group 128,33,485,368,433
group 129,79,426,318,176
group 130,199,304,279,589
group 131,376,303,597,366
group 132,43,249,104,480
group 133,170,491,503,134
group 134,507,301,229,555
group 135,3,505,1,439
group 136,379,17,525,353
group 137,340,127,561,373
group 138,271,214,281,206
group 139,205,139,579,269
group 140,191,264,196,585
group 141,455,207,218,522
group 142,502,177,147,2
group 143,62,430,460,46
group 144,288,454,270,552
group 145,458,211,453,19
group 146,527,333,132,88
group 147,493,567,209,244
group 148,414,517,422,369
group 149,181,261,334,148
group 150,248,81,37,446
